"service_code","service_description","amount_covered"
"SNL447283","Self care mngment training","294.80"
"SMP648176","Flu vac no prsv 4 val 3 yrs+","44.79"
"STL054091","Mammogram screening","54.12"
"SLZ227004","X-ray exam of wrist","291.34"
"SDJ322332","Echo exam of eye","277.31"
"STH288741","Scr c/v cyto, automated sys","42.13"
"SBN986645","X-ray exam of neck spine","46.23"
"SVR332644","Set radiation therapy field","228.14"
"SQM082906","HPV combo assay CA screen","136.01"
"SJL818945","Brachytx, non-str, HA, P-103","188.70"
"SLT001110","Nuclear rx intra-arterial","70.87"
"SDT433645","radiation src","116.97"
"SFL747587","Leukacyte transfusion","56.36"
"SBB992423","Laryngeal function studies","151.94"
"SSN572784","Ins","164.05"
"SJZ849154","Lwr xtr vasc stdy bilat ","184.85"
"SYK401143","X-ray exam entire spi 6/> vw","36.10"
"SMR357335","Transperi needle place pros","125.19"
"SQL197480","K flow/funct image multiple","170.81"
"SHQ616379","Iodine I-123 sod iodide mic","0.87"
"SMN224411","Brain image w/flow < 4 views","169.56"
"SNV512177","Florbetaben F18","181.80"
"SXQ896942","Mri joint lwr extr w/o&w/dye","28.14"
"SMG940499","Ins mark abd","247.38"
"SJZ155461","Ct neck spine w/o & w","59.31"
"STX021321","Brachytx, non-stranded,P-103","49.51"
"SBD205026","Stereotactic radiation trmt","198.23"
"SKL065787","X-ray exam of shoulder","203.47"
"SFP356226","Heart infarct image","67.20"
"SGS769619","Technetium TC-99m aerosol","289.62"
"SLS565971","Development test interp & rep","103.20"
"SPB855939","Radiation","115.49"
"SHM588851","X-ray exam of pelvis","17.65"
"SDN311432","Hyperthermia treatment","96.92"
"SFL794466","Screen pap by tech w md supv","97.87"
"SYY589329","Tc99m fanolesomab","28.35"
"SQW934165","X-ray exam entire spi 4/5 vw","82.97"
"SCR608666","Brachytx, non-str, HA, P-103","245.33"
"SMC723941","Mri chest w/o dye","180.63"
"SBJ176893","Heart infarct image (ef)","28.35"
"SBW450927","Heart image (pet) multiple","81.34"
"SGF766264","X-ray exam of humerus","135.11"
"SDT828369","Technetium TC-99m teboroxime","13.23"
"SXH897050","Hdr rdncl skn surf brachytx","93.43"
"SZC634015","Implant radiation","34.30"
"SCP329647","Mri pelvis w/o & w/dye","111.44"
"SXD141178","Kidney function study","5.48"
"SNR610269","Breast tomosynthesis bi","50.46"
"SSC810161","Ntsty modul rad","30.13"
"SCK479923","Biofeedback peri/uro/rectal","168.97"
"SHR129890","Mri chest w/o & w/dye","69.31"
"SRH299059","Dynamic surface emg","92.82"
"SMF769995","Whirlpool therapy","178.41"
"SPY584077","Mr angio spine w/o&w/dye","80.18"
"SGW813638","Ra223 dichloride ther","0.92"
"SRS294747","Therapeutic activities","213.65"
"SVM998818","PET image w","69.76"
"SCC649847","Autologous blood process","240.90"
"SFN154517","Sbrt","265.38"
"SQP986235","Mri chest w/o & w/dye","21.28"
"SNB000933","Cine/video x-rays","139.75"
"SJP223133","Insert uteri tandems/ovoids","292.99"
"SBD369153","PET image ltd area","222.32"
"SRL339219","Scr c/v cyto,thinlayer,rescr","276.49"
"SST388620","Hematopoietic nuclear tx","209.15"
"SGP196456","Apply SRS headframe add-on","73.46"
"SRP139356","CAT scan follow-up study","12.40"
"SQL563059","X-ray exam of knees","294.49"
"SZD450756","Plasma fresh frozen","114.09"
"SZW441755","Iodine I-131 iodide cap, dx","4.24"
"SRL413452","X-ray exam of finger(s)","219.93"
"SGT905017","Inj Fe-based MR","177.98"
"SMM021077","Mr angiography head w/dye","163.55"
"SQV144746","Penile vascular study","38.07"
"SMR083756","Apply intrcav radiat interm","273.86"
"STP446522","Us exam pelvic complete","108.56"
"SRK069613","Screeningmammographydigital","39.77"
"SXV109204","X-ray exam of pelvis","133.42"
"SVF862223","X-ray exam of facial bones","249.90"
"SQM587366","Umbilical artery echo","247.44"
"SDB426407","Heart first pass add-on","123.21"
"SNT111688","Srs linear based","225.01"
"SVS357021","Ct lumbar spine w/dye","79.55"
"SMZ978009","thickness","1.70"
"SWN583784","HOCM 250-299mg/ml iodine,1ml","84.28"
"SWJ162002","Scr c/v cyto,thinlayer,rescr","288.15"
"SNR090330","2 dose im","157.38"
"SVX518557","X-ray exam of knee 1 or 2","43.07"
"SFS510215","Kidney imaging with flow","299.36"
"SQS616837","contrast,1ml","94.31"
"SNT814579","Special radiation dosimetry","40.25"
"SPY191642","X-ray exam of femur 2/>","262.76"
"SFH291340","Fluvirin vacc, 3 yrs & >, im","40.95"
"SJB614254","face/neck w/o dye","197.56"
"SHN531801","X-ray exam of jaw","47.04"
"SMG790854","Inj Fe-based MR","193.38"
"SXB709930","Range of motion","60.59"
"SWT586998","Brachytx,non-stranded,I-125","138.88"
"SDF058469","Neg press wound tx < 50 cm","240.63"
"SSJ826494","Proton trmt intermediate","174.01"
"SKD371818","X-ray exam of ribs","94.13"
"SRC887736","Mr angio pelvis w/o & w/dye","65.15"
"SXF843852","Ct angiography head","52.53"
"SRQ476441","Intrafraction track motion","3.08"
"SDZ454600","Echo exam of abdomen","228.11"
"STY763892","X-ray exam hips bi 5/> views","181.03"
"SKB678985","Transport portable x-ray","269.66"
"SWH726379","Hyperthermia treatment","30.12"
"SKZ688594","X-ray exam of hand","71.23"
"SKY428912","X-ray exam of facial bones","210.92"
"SKJ170981","Congo red blood test","68.89"
"SQH130111","Ct angio abdominal arteries","60.44"
"SXC868855","Cr51 chromate","257.26"
"SXQ796106","X-rays bone length studies","213.87"
"SRL311760","Us exam pelvic complete","177.58"
"SPQ628817","NOS flu vacc, 3 yrs & >, im","285.55"
"SHP018446","Us exam chest","135.94"
"SXF721629","Fecal blood scrn immunoassay","18.90"
"SZB140392","Nuclear rx oral admin","291.98"
"SYK085235","Us exam of head and neck","189.28"
"SDF210448","tx dlvr cplx","136.65"
"SWJ793858","HIV combination assay","247.29"
"SDD945966","Echo exam of eye","234.33"
"SBN223505","Ct upper extremity w/o dye","48.40"
"SDQ124501","Tc99m sestamibi","19.67"
"SLC512596","Mechanical traction therapy","155.72"
"SHN793011","SRS spinal lesion","194.63"
"SQP105279","Ct chest spine w/dye","14.62"
"SMR039989","Set radiation therapy field","171.42"
"SNV834732","Intracranial study","124.42"
"STV769644","X-ray exam of sinuses","13.11"
"SVN153784","Heart symp image plnr spect","130.90"
"SWP892797","mastoids","150.60"
"SMF425487","Biofeedback train any meth","29.54"
"SNL792547","Sensory integration","29.30"
"SHB959449","Neutron beam tx complex","14.74"
"SCB415473","Mri lumbar spine w/o & w/dye","47.83"
"SVS345135","Us urine capacity measure","12.25"
"SFW698922","angiography neck w/o dye","118.11"
"SQS657549","Brachytx, NS, Non-HDRIr-192","132.68"
"SZK224911","Brachytx,non-stranded,I-125","206.49"
"SWT352953","Range of motion","56.67"
"SVD381487","speech device service","256.62"
"SLK624594","radiation src","234.27"
"SZK737825","Transport portable x-ray","62.69"
"SSW291702","Radiation treatment delivery","105.63"
"SDP371131","Heart first pass single","25.00"
"SWH393021","HOCM 350-399mg/ml iodine,1ml","189.88"
"SSL852218","Body muscle testing manual","109.69"
"SRY732851","1ml","223.40"
"SQM213095","Screeningmammographydigital","79.10"
"SPD594098","HIV combination assay","0.32"
"STH325477","Ct neck spine w/o dye","28.97"
"SFL506959","Tc99m labeled rbc","65.96"
"SBS327530","Extracranial study","247.42"
"SHX019419","Contrst x-ray uppr gi tract","117.15"
"SRM327788","Mr angiography head w/dye","82.61"
"SBD178549","Ct maxillofacial w/o & w/dye","34.78"
"SND039468","Mr angio pelvis w/o & w/dye","173.80"
"SYV789534","Speech/hearing therapy","288.14"
"SCF740063","Ntsty modul rad tx dlvr smpl","261.79"
"SCZ691958","Leukacyte transfusion","229.02"
"SCQ312277","Tc99m bicisate","69.54"
"SHC069548","X-ray exam","188.76"
"SKW198310","Mr angio pelvis w/o & w/dye","163.04"
"SQB475600","Ob us detailed sngl fetus","91.91"
"SPL388421","Radiopharm rx agent noc","121.93"
"SGN249688","Heart first pass multiple","50.42"
"SNH978202","Red cell mass single","275.23"
"SGR462071","Diathermy eg microwave","14.22"
"SRJ165598","Radiation","255.29"
"SJJ863690","Flu vaccine no preserv 3 & >","277.86"
"SJF939256","cm","9.03"
"SVP951147","Mr angiography neck w/dye","56.59"
"SGQ925356","Assessment of aphasia ","223.62"
"SNW928802","Ultrasound exam AAA screen","252.53"
"STJ862436","radiation src","278.90"
"SDT867838","Mri joint lwr extr w/o&w/dye","253.61"
"SQR211290","Chest x-ray","125.52"
"SJQ327530","Us exam of head and neck","117.09"
"SPY335190","Cardiac rehab/monitor","187.18"
"SJB955527","Hdr elctrnc skn surf brchytx","18.81"
"SJM816860","X-rays for bone age","260.83"
"SRY430104","Flu vaccine no preserv, ID","83.06"
"SQN718152","X-ray exam of","226.55"
"SBC883705","Us exam abdo back wall lim","44.52"
"SCW553774","X-ray exam of skull","121.91"
"SQC560756","Technetium TC-99m teboroxime","92.46"
"SCC709438","Flu vacc cell cult prsv free","271.90"
"SKP884282","HOCM 300-349mg/ml iodine,1ml","209.75"
"STV683966","Technetium TC-99m aerosol","201.75"
"SNG577043","Heart infarct image","44.02"
"SWP595499","Tc99m medronate","258.36"
"SHT281033","Us exam infant hips static","103.17"
"SCD989623","HOCM 200-249mg/ml iodine,1ml","207.31"
"SLV848096","Manual therapy","224.28"
"SDL770035","CAT scan follow-up study","169.76"
"STY161037","Nervous system nuclear exam","107.76"
"SDX230757","Speech/hearing therapy","262.13"
"SXB606390","Cephalin floculation test","185.76"
"STM257007","Lung perf&ventilat diferentl","189.20"
"SBY208744","lmtd","146.18"
"SJG304997","Thorax stereo rad targetw/tx","216.30"
"SLL168799","Gastric emptying study","274.79"
"SDX068282","Contrst x-ray uppr gi tract","74.54"
"SRG538413","X-ray exam of thoracic spine","187.63"
"SFG502022","Platelet survival","181.51"
"SPH408052","Ct abd & pelv 1/>regns","140.21"
"SQH489211","Ct abdomen w/dye","48.77"
"SVW056767","Ct upper extremity w/dye","257.09"
"SNK175782","Thyroid uptake measurement ","227.07"
"SSW481366","Hot or cold packs","196.08"
"SKX189995","Scr c/v cyto,autosys and md","67.59"
"SPR374546","mastoids","149.93"
"SDM504234","X-ray exam of neck spine","269.77"
"SDX940425","Cerebrospinal fluid scan","227.86"
"SMK559215","CSF shunt evaluation","189.82"
"SLD293200","Echocardiography contrast","159.61"
"SSD755064","Radiology port film(s)","237.51"
"SHN259692","Ins","81.27"
"STZ234505","Flu vacc prsv free inc antig","278.14"
"SNL887461","Ob us < 14","122.03"
"SNB971235","Echo transthoracic","255.40"
"SCD930371","Plasma volume single","281.49"
"SRQ499793","CAT scan follow-up study","293.34"
"SDV575592","Community/work reintegration","1.66"
"SNL503520","Frozen blood thaw","211.29"
"SPL079296","cryopreservation oocyte(s)","103.51"
"SXD332728","Ct maxillofacial w/o dye","78.17"
"SDN716941","Genitourinary nuclear exam","62.28"
"SPL432797","Leukacyte transfusion","275.97"
"SFQ753481","Scr c/v cyto, autosys, rescr","147.41"
"SDB501131","Cine/vid x-ray throat/esoph","155.00"
"SYZ061961","PET image w/ct lmtd","181.65"
"SHV444584","Ct orbit/ear/fossa w/o&w/dye","227.38"
"SSK714115","Screen pap by","239.28"
"SCH212448","GI protein loss exam","227.83"
"SVJ962812","imaging","184.86"
"SJM590292","Radiation therapy planning","250.10"
"SRL938820","Sensory integration","29.06"
"SZW574419","Radiation treatment delivery","202.00"
"SVJ547086","morph","165.21"
"SQS871288","Brachytx isodose plan simple","256.05"
"SFW135254","Limb muscle testing manual","270.67"
"SWY335358","Brachytx, stranded, I-125","77.61"
"SMY430384","Throat x-ray & fluoroscopy","34.59"
"SJC474101","Ra223 dichloride ther","239.05"
"SVV279663","2 levels","267.06"
"SSG915323","Screen pap by tech w md supv","107.94"
"SMR664433","Comp screen mammogram add-on","180.27"
"SXT820086","Hdr rdncl skn surf brachytx","222.96"
"SYS293188","Mr angio pelvis w/o & w/dye","141.60"
"SJT241022","Mri brain w/o dye","88.42"
"SFS752298","Indium In-111 auto WBC","34.80"
"SDD463448","X-ray exam of lower spine","114.82"
"SVC754904","Oral HIV-1/HIV-2 screen","39.10"
"SJS505093","Nuclear localization/abscess","278.56"
"SXP011770","Penile vascular study","231.33"
"SJQ778169","X-ray head for orthodontia","23.98"
"SMS423103","Neg press wnd tx </=50 sq cm","197.34"
"SHG426850","Inj multihance","213.51"
"SQR768265","Thorax stereo rad targetw/tx","63.38"
"SCC572974","P32 Na phosphate","269.43"
"SPC255593","Radiation treatment delivery","239.56"
"SLL372383","Mri orbit/face/neck w/dye","87.93"
"SGZ229759","dye","211.72"
"SGL206686","Speech","117.36"
"SNP585585","Radiation treatment delivery","99.87"
"SVR803384","X-ray exam of humerus","61.22"
"SWR997734","Nuclear rx intra-articular","198.25"
"SLD350614","Brachytx","267.35"
"SQG593128","Screen c/v thin layer by MD","208.06"
"SBX428809","Work hardening add-on","83.18"
"SBG275395","X-ray exam of ribs/chest","65.52"
"SDX777152","Vol reduction of blood/prod","168.39"
"SMK893157","Flu vaccine no preserv 6-35m","82.11"
"SGG302219","Ct upper extremity w/dye","292.98"
"SRR586092","Hepatobiliary system imaging","62.85"
"SNK260350","X-ray stress view","45.34"
"SYG531384","Screeningmammographydigital","84.93"
"SRS250448","Intracranial study","116.07"
"SWZ102248","testing","278.96"
"STG255457","Scr c/v cyto, autosys, rescr","271.20"
"SMC664804","Us exam infant hips static","20.49"
"SXC654206","Mri lumbar spine w/o dye","298.98"
"SQW796194","Screening pap smear by phys","291.25"
"SZX033557","HIV combination assay","63.29"
"SKS104380","Brachytx cesium-131 chloride","246.26"
"SBK166137","Mr angiography head w/dye","254.61"
"SBS103342","Ct lwr extremity w/o&w/dye","25.16"
"SWV880521","Flu vacc prsv free inc antig","23.17"
"SHT701094","Hdr elctr ntrst/ntrcv brchtx","108.57"
"SBP091075","PET image w","145.64"
"STR108772","Mri lumbar spine w/dye","11.77"
"SMH278943","Indium In-111 pentetreotide","2.09"
"SLQ590096","Mammogram one breast","276.60"
"SCS154555","measurements","50.37"
"SHT774077","Tc99m oxidronate","258.67"
"SCR829695","Radiation therapy management","217.01"
"SQV950024","Nuclear medicine therapy","151.24"
"SBN242570","Screen c/v thin layer by MD","33.32"
"SNV370566","Set up port xray equipment ","61.43"
"SCB437544","X-ray exam","110.68"
"SRM051102","Ob us follow-up","131.59"
"SQV355914","SRS cran les simple addl","25.74"
"SLG644542","Mr angiograph neck w/o&w/dye","30.97"
"SDD414520","X-ray exam of tailbone","90.83"
"SRV074183","Inj prohance multipack","202.27"
"SJQ974661","150-199mg/ml iodine,1ml","51.79"
"SVN293290","Thyroid met imaging","257.22"
"SCS027230","image","185.71"
"SPG291510","Mri orbit/face/neck w/dye","286.35"
"SBR492890","Echo transthoracic","100.64"
"SCP228062","Oral speech device eval","39.02"
"SKH852616","Mr","8.93"
"STB473064","knee 4 or more","177.74"
"SRT986300","Brachytx cesium-131 chloride","58.28"
"SMM114093","X-ray exam of ribs/chest","94.11"
"SHF217445","Blood mucoprotein","298.74"
"SJV196633","Tc99m exametazime","158.35"
"SKD512228","ang lwr ext w or w/o dye","132.03"
"SJF316675","Place breast cath for rad","105.27"
"SBW961504","Esophageal capsule endoscopy","154.03"
"SFR059631","X-ray exam of skull","68.12"
"SZH588689","Ex for speech device rx addl","159.96"
"SKP683734","planning","43.10"
"SKW385847","Ultrasound breast limited","20.87"
"SDJ145668","Ultrasound breast complete","55.12"
"SWZ143825","Radiation treatment delivery","36.04"
"SBZ360947","Heart infarct image","244.80"
"SJR781131","Ins","154.82"
"SFN786986","Brachytx, stranded, P-103","292.90"
"SBY218049","Heart first pass single","256.79"
"SCW507295","Use of","203.62"
"SLZ539132","Apply interstit radiat simpl","221.60"
"SMX507487","intrcav radiat simple","181.39"
"SYR834801","Acute venous thrombus","49.66"
"SRB359373","Hyperthermia treatment","70.51"
"SSQ951833","Radiation therapy planning","262.94"
"SFD761940","Chest x-ray and fluoroscopy","16.87"
"SDT001677","X-ray exam of ankle","201.25"
"SNR787469","Ob us detailed sngl fetus","76.70"
"SNN701010","Radiation treatment delivery","68.31"
"SZH547116","Echo exam of head","255.80"
"SHX429748","X-ray exam of abdomen","3.80"
"SJJ250658","Inj perflexane lip micros,ml","168.85"
"SHG569638","Scr c/v cyto,thinlayer,rescr","56.38"
"SQT955931","2 levels","261.56"
"SBB217091","Cerebrospinal fluid scan","282.59"
"SKH276403","Scr c/v cyto,thinlayer,rescr","160.26"
"SMY196836","Breast tomosynthesis bi","191.58"
"SCM963548","Tumor imaging whole body","31.45"
"SDG842681","Fees w/laryngeal sense test","296.45"
"SHR952179","X-ray exam of pelvis","88.40"
"SJB342123","Ct upper extremity w/o dye","0.03"
"SPC459330","Tumor imaging (3D)","51.26"
"SWJ436329","Echo exam of fetal heart","52.70"
"SWY335247","Chest x-ray","86.81"
"SXQ990152","X-ray exam of femur 1","180.59"
"SWM979450","Ct chest spine w/o & w/dye","189.78"
"SSJ839463","Mammogram both breasts","70.28"
"SQX237627","P32 Na phosphate","137.64"
"SFH831993","K flow/funct image w/o drug","161.49"
"SJG401211","Extremity","74.52"
"SQT834758","Hdr rdncl ntrstl/icav brchtx","58.74"
"SSV804730","Ot re-evaluation","34.96"
"SYR873813","Vit B-12 absorp combined","46.13"
"SLB977560","Radiation treatment delivery","15.39"
"SNB770413","Heart infarct image","172.61"
"SXZ593960","Chest x-ray","202.44"
"SCQ610673","Nuclear exam of tear flow","87.72"
"SWT211585","Mr angiograph head w/o&w/dye","220.88"
"SQX179213","Chest","31.53"
"SJT690577","Scr c/v cyto,thinlayer,rescr","154.95"
"SVS421470","Tc99m bicisate","45.18"
"SRY313114","Breast tomosynthesis bi","89.39"
"SKJ750503","Ht muscle image spect mult","283.34"
"SJR305331","X-ray exam of knee 1 or 2","48.56"
"SQL474760","Pt re-evaluation","258.77"
"SZT714084","X-ray exam of lower leg","17.17"
"SZK674455","Delivery comp imrt","128.38"
"STJ305432","I131 iodobenguate, dx","246.72"
"SKM993293","Group therapeutic procedures","98.29"
"SLM241624","Endocrine nuclear procedure","260.25"
"SDN772319","Colon ca scrn; barium enema","243.03"
"SPW843412","leakage imaging","35.60"
"SMQ974168","Radiation treatment delivery","134.95"
"STT976735","Motion test w/ft press meas","207.99"
"SNH045134","HOCM>= 400mg/ml iodine,","186.14"
"SPQ314770","X-ray exam of humerus","45.15"
"SLM993349","Complex body","4.10"
"SRB100126","Mri orbit/face/neck w/dye","60.40"
"SLK878845","X-ray exam of shoulder","0.27"
"SYW633013","Set radiation therapy field","43.76"
"SMT492009","Evaluate swallowing function","148.15"
"SZZ203287","Flu vacc cell cult prsv free","143.73"
"SSY597739","Apply surface radiation","277.32"
"SFK547524","Routine venipuncture","22.99"
"SMX727719","Us xtr non-vasc","58.55"
"STR541819","Blood/lymph nuclear exam","29.09"
"SDG784367","Nuclear rx iv admin","266.54"
"SRS182906","X-ray exam of shoulder blade","282.31"
"SFJ518573","Ct maxillofacial w/o dye","155.51"
"SCW769305","Brachytx, non-stranded, NOS","163.55"
"SCM239106","Echocardiography contrast","268.17"
"SBB439008","Thyroid met imaging body","261.22"
